Type,Sub,Code,Name,RPM,Atk Type,Atk Name,DMG,DUR,AP,DF,ST,PF,Status
Grenade,GR,G-7,Pineapple,,projectile,CLUSTER BOMB_P,300,300,3,20,25,40,
Grenade,GR,G-7,Pineapple,,explosion,CLUSTER BOMB_P_IE x18,100,100,3,20,25,40,
Grenade,GR,G-10,Incendiary,,explosion,G-10 INCENDIARY_E,300,300,3,30,20,15,Fire
Grenade,GR,G-12,High Explosive,,explosion,G-12 HIGH EXPLOSIVE_E,800,800,4,30,30,40,
Grenade,GR,G-6,Frag,,explosion,G-6 FRAG_E,500,500,3,20,25,40,
Grenade,GR,G-7,Pineapple,,explosion,G-7 PINEAPPLE_E,300,300,3,30,25,40,
Grenade,GR,G-6,Frag,,projectile,SHRAPNEL_P x35,110,35,3,10,10,20,
Grenade,GR,TED-63,Dynamite,,explosion,TED-63 DYNAMITE_E,1000,1000,4,40,40,40,
Grenade,SPC,G-109,Urchin,,explosion,G-109 URCHIN_E,0,0,6,0,50,0,Stun Large
Grenade,SPC,G-123,Thermite,,explosion,G-123 THERMITE_E,2000,2000,7,30,20,40,
Grenade,SPC,G-13,Incendiary Impact,,explosion,G-13 INCENDIARY IMPACT_E,150,150,3,30,20,15,Fire
Grenade,SPC,G-142,Pyrotech,,explosion,G-142 PYROTECH_E,50,50,3,30,50,40,Fire
Grenade,SPC,G-142,Pyrotech,,spray,G-142 PYROTECH_S,0,0,7,10,5,5,Fire
Grenade,SPC,G-16,Impact,,explosion,G-16 IMPACT_E,400,400,4,30,30,40,
Grenade,SPC,G-24,Stun,,explosion,G-23 STUN_E,0,0,6,0,50,0,Stun Large
Grenade,SPC,G-3,Smoke,,explosion,G-3 SMOKE_E,,,0,,,,
Grenade,SPC,G-31,Arc,,explosion,G-31 ARC_E,0,0,6,0,0,0,
Grenade,SPC,G-31,Arc,,arc,G-31 ARC_E_A,100,70,4,20,35,10,Stun Small
Grenade,SPC,G-4,Gas,,explosion,G-4 GAS_E,3,3,6,30,10,10,Gas • Gas_Confusion
Grenade,SPC,G-50,Seeker,,explosion,G-50 SEEKER_E,500,500,4,30,30,40,
